scenario_id,scenario_type,GeneSymbol,scenario_rank,scenario_score,formal_rank,in_formal_top30
exp_network_grid_exp_0.8500,experimental_network_weight_grid,SIGMAR1,22,0.5576241355467879,15.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,PTGS2,23,0.5556210121516318,18.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,CD38,24,0.5479598386178253,20.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,ARG1,25,0.5423934166011364,19.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,TERT,26,0.5388227234543789,16.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,G6PD,27,0.5379585660317481,26.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,MPO,28,0.5323117218986398,22.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,CCNB1,29,0.5292358542311155,25.0,True
exp_network_grid_exp_0.8500,experimental_network_weight_grid,PIK3CA,30,0.5236685145968432,,False
exp_network_grid_exp_0.9000,experimental_network_weight_grid,HSP90AB1,1,0.7890804339196357,3.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,CDK6,2,0.7800540018257802,1.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,CA2,3,0.7523318663723279,2.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,PARP1,4,0.663557854716349,4.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,HSP90AA1,5,0.6389739456636929,13.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,KIT,6,0.6347651142368994,7.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,ACHE,7,0.6275615709160811,5.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,APEX1,8,0.6119460843794576,10.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,PRKDC,9,0.611765348385827,23.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,CDK4,10,0.6079666767495002,8.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,HIF1A,11,0.6025611344768034,6.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,PGD,12,0.5903330430175407,,False
exp_network_grid_exp_0.9000,experimental_network_weight_grid,HDAC1,13,0.5900199981654424,,False
exp_network_grid_exp_0.9000,experimental_network_weight_grid,MDM4,14,0.5899186128559105,21.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,TP53,15,0.5891949088808955,,False
exp_network_grid_exp_0.9000,experimental_network_weight_grid,MIF,16,0.5832741958361236,27.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,CHEK1,17,0.5790006053068832,14.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,PTPN11,18,0.5723503715625424,17.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,TOP2A,19,0.5676802729130505,12.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,CDK2,20,0.5622647714315583,9.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,SYK,21,0.5563816645326756,11.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,PTGS2,22,0.5475158633474386,18.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,SIGMAR1,23,0.5443471239122852,15.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,CD38,24,0.5365696193338259,20.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,G6PD,25,0.5356771949067773,26.0,True
exp_network_grid_exp_0.9000,experimental_network_weight_grid,DUT,26,0.5338352806346097,,False
exp_network_grid_exp_0.9000,experimental_network_weight_grid,DHFR,27,0.5314575526449026,,False
