case_id,display,series,x,value,x_unit,value_unit
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.6500001,0.1666754,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.6600001,0.1701962,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.6700001,0.1712711,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.6800001,0.1821978,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.6900001,0.1743575,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.7,0.1684745,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.71,0.1678995,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.72,0.1593128,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.73,0.163209,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.7400002,0.1689847,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.7500002,0.1670583,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.7600002,0.16372,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.7700002,0.1738101,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.7800002,0.1750219,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.7900002,0.1687155,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.8000002,0.1627556,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.8100002,0.1638192,ns,nm
PARP1_sesamin,PARP1–sesamin,protein_backbone_rmsd,2.8200002,0.174715,ns,nm
