"gene","distance","Z","FC","p.value","p.adj","candidate","significant","neg_log10_q","response_rank"
"FCGR3A",3.93036286408256e-16,-2.64769732978208,1.37962870917151e-14,0.999999906282397,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,113
"CD79A",4.09598437532021e-16,-2.63793833609114,1.49835082155741e-14,0.999999902333232,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,114
"ETS1",4.11726580549938e-16,-2.63671278252707,1.51396117693814e-14,0.999999901825786,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,115
"TLR9",4.20377464768427e-16,-2.63179464642039,1.57824993863367e-14,0.999999899763025,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,116
"ZFC3H1",4.23209165638641e-16,-2.63020653438615,1.5995840221159e-14,0.99999989908782,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,117
"ATM",4.33453639226567e-16,-2.62454767577337,1.67796243872164e-14,0.999999896645074,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,118
"PLG",4.44259173520894e-16,-2.61872061341916,1.76266481842058e-14,0.999999894068547,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,119
"IGKV4-1",5.7384544332275e-16,-2.55806480373562,2.94094432245121e-14,0.999999863169327,0.999999989686377,"TERT",FALSE,4.47914956117678e-09,120
"PRSS57",7.36556825695073e-06,3.78119670273564,1403.64170681876,3.39687176971168e-307,5.09530765456752e-304,"TOP2A",TRUE,12,1
"SMIM24",1.68365913783906e-06,2.55933248630672,73.3418888485186,1.09029281009214e-17,1.09029281009214e-14,"TOP2A",TRUE,12,2
"PGF",1.08585247080478e-06,2.24540845771038,30.5060090581947,3.32833978703847e-08,2.49625484027885e-05,"TOP2A",TRUE,4.60271108001634,3
"UBE2C",9.76298753269648e-07,2.1723525151008,24.6609167160779,6.83564412100983e-07,0.00041013864726059,"TOP2A",TRUE,3.38706930532554,4
"RRBP1",8.95958627555195e-07,2.11420856924482,20.7691947525086,5.18096690335042e-06,0.00259048345167521,"TOP2A",TRUE,2.58661917769421,5
"SH3BP5",8.37761432722431e-07,2.0692547894967,18.1586882877065,2.03240058471023e-05,0.00871028822018671,"TOP2A",TRUE,2.05996747411224,6
"SELK",8.13049148777101e-07,2.04935902901536,17.1031988869943,3.54026253679341e-05,0.0132759845129753,"TOP2A",TRUE,1.87693326288691,7
"GYPC",8.03562961218576e-07,2.04158503646487,16.7064266445412,4.36329384398558e-05,0.0137291904251979,"TOP2A",TRUE,1.86235507122904,8
"PLP2",8.0138465108396e-07,2.03978889240675,16.6159733644713,4.57639680839931e-05,0.0137291904251979,"TOP2A",TRUE,1.86235507122904,9
"HPSE",7.93384852398102e-07,2.03315678961182,16.2858922117,5.446797061573e-05,0.0148549010770173,"TOP2A",TRUE,1.82813023594033,10
"VWF",7.56904995278153e-07,2.00217361605066,14.8226717060459,0.000118107071332777,0.0295267678331942,"TOP2A",TRUE,1.52978409076044,11
"CDCA7",7.45129110868361e-07,1.99190099286057,14.3650389786425,0.0001505721756077,0.0347474251402385,"TOP2A",TRUE,1.45907737204703,12
"UROD",7.3063839263813e-07,1.97906902875364,13.8117505319372,0.000202068494480989,0.0433003916744977,"TOP2A",TRUE,1.36350817521006,13
"AURKA",7.24524516014386e-07,1.97359004020405,13.5815681743667,0.00022841733311981,0.045683466623962,"TOP2A",TRUE,1.3402409477015,14
"EPS15",7.04330491696721e-07,1.95520938169565,12.8350252507323,0.000340190868776503,0.0587743239432526,"TOP2A",FALSE,1.23081235768415,15
"C1orf228",7.03515773605726e-07,1.95445846824831,12.8053491839189,0.0003456297004483,0.0587743239432526,"TOP2A",FALSE,1.23081235768415,16
"CCND1",7.02482299158746e-07,1.95350486629061,12.7677543461155,0.000352645943659516,0.0587743239432526,"TOP2A",FALSE,1.23081235768415,17
"CKAP5",6.99221616116156e-07,1.95048835118941,12.6495023124353,0.000375665669937199,0.0593156320953472,"TOP2A",FALSE,1.2268308371907,18
"VIMP",6.68844360111049e-07,1.92179599366862,11.5742773697304,0.00066870417842846,0.0993153287814647,"TOP2A",FALSE,1.00298371533718,19
"MYH9",6.66753215016226e-07,1.91978036204143,11.5020164414185,0.000695207301470253,0.0993153287814647,"TOP2A",FALSE,1.00298371533718,20
"CKLF",6.61460009539386e-07,1.91465418542503,11.320117446111,0.000766718637163117,0.104552541431334,"TOP2A",FALSE,0.980665406020008,21
"MKI67",6.44405041048381e-07,1.89789679814838,10.7438912908427,0.00104624103481671,0.136466221932615,"TOP2A",FALSE,0.86497483172678,22
"ZFP36L2",6.34942804722931e-07,1.88843643385656,10.430688098566,0.00123938559030391,0.154923198787989,"TOP2A",FALSE,0.809883544466549,23
"PTMS",6.28170823438312e-07,1.88159195604348,10.2093776506326,0.00139728318077089,0.167673981692507,"TOP2A",FALSE,0.775534322510305,24
"CD34",6.16862116605913e-07,1.87002111210829,9.84509579984901,0.00170285122826993,0.196482834031146,"TOP2A",FALSE,0.706675386312482,25
"PF4",6.12863214744698e-07,1.86588634875101,9.71786489601272,0.00182485392009684,0.202761546677427,"TOP2A",FALSE,0.693014404611242,26
"RPL10A",6.06906567168153e-07,1.85968460938236,9.52987975472477,0.00202153364547429,0.216592890586531,"TOP2A",FALSE,0.664355802695517,27
"SPINK2",6.02023678863633e-07,1.8545621079529,9.37715065903514,0.0021970678777298,0.226635687964845,"TOP2A",FALSE,0.644671701419532,28
"ICAM3",6.00194195235937e-07,1.85263375191099,9.32024500031427,0.00226635687964845,0.226635687964845,"TOP2A",FALSE,0.644671701419532,29
"DCTN3",5.96880320725613e-07,1.84912802744865,9.21760869948503,0.00239698420625731,0.231966213508772,"TOP2A",FALSE,0.634575266640362,30
"UBC",5.93740518529155e-07,1.84579115868833,9.1208879806246,0.00252707267324772,0.236913063116974,"TOP2A",FALSE,0.625410992112999,31
"RPS18",5.84976687897534e-07,1.83639728026915,8.85361974530244,0.00292508225982775,0.262560758247917,"TOP2A",FALSE,0.580770182092282,32
"RPS9",5.83941598717588e-07,1.83527989322348,8.82231532479766,0.0029756885934764,0.262560758247917,"TOP2A",FALSE,0.580770182092282,33
"CDKN3",5.75042025651019e-07,1.82560264401037,8.55545118439816,0.00344489113157835,0.295276382706716,"TOP2A",FALSE,0.529771288119007,34
"CCNA2",5.6797255234006e-07,1.81782428022289,8.34638558604543,0.00386455336470315,0.31584765430817,"TOP2A",FALSE,0.500522344113292,35
"ZFAS1",5.6596991144629e-07,1.81560587238021,8.28763153093557,0.00399160168442093,0.31584765430817,"TOP2A",FALSE,0.500522344113292,36
"C1QTNF4",5.65828154290873e-07,1.81544858945205,8.28348048361442,0.00400073695457016,0.31584765430817,"TOP2A",FALSE,0.500522344113292,37
"LCP1",5.56133241442699e-07,1.80461154612757,8.00205360716197,0.00467243281037721,0.359417908490554,"TOP2A",FALSE,0.444400287369338,38
"RPL18A",5.49756011840579e-07,1.79739516212978,7.81958530200085,0.00516830534906816,0.387622901180112,"TOP2A",FALSE,0.41159057227571,39
